2022-06-09 15:17:09：用户345进行了操作：首页
2022-06-09 15:17:24：用户345进行了操作：查看个人信息
2022-06-09 15:17:25：用户345进行了操作：修改密码
2022-06-09 15:17:31：用户345进行了操作：修改密码成功
2022-06-09 15:19:53：用户admin进行了操作：查看个人信息
2022-06-09 15:19:54：用户admin进行了操作：修改密码
2022-06-09 15:20:53：用户进行了操作：注册
2022-06-09 15:21:03：用户进行了操作：注册成功
2022-06-09 15:21:33：用户567使用thulac方法，在时间段2022-03-01到时间段2022-03-31进行了操作：热点提取
2022-06-09 15:21:34：用户567使用pkuseg方法，在时间段2022-03-01到时间段2022-03-31进行了操作：热点提取
2022-06-09 15:21:36：用户567使用jieba方法，在时间段2022-03-01到时间段2022-03-31进行了操作：热点提取
2022-06-09 15:21:37：用户567使用snowlp方法，在时间段2022-03-01到时间段2022-03-31进行了操作：热点提取
2022-06-09 15:21:39：用户567使用snowlp方法，在时间段2022-03-01到时间段2022-03-31进行了操作：提取词云
2022-06-09 15:21:43：用户567使用jieba方法，在时间段2022-03-01到时间段2022-03-31进行了操作：热点提取
2022-06-09 15:21:45：用户567使用jieba方法，在时间段2022-03-01到时间段2022-03-31进行了操作：提取词云
2022-06-09 15:21:50：用户567使用jieba方法，在时间段2022-03-01到时间段2022-03-18进行了操作：热点提取
2022-06-09 15:21:53：用户567使用pkuseg方法，在时间段2022-03-01到时间段2022-03-18进行了操作：热点提取
2022-06-09 15:21:57：用户567使用pkuseg方法，在时间段2022-03-01到时间段2022-03-18进行了操作：提取词云
2022-06-09 15:22:00：用户567使用pkuseg方法，在时间段2022-03-01到时间段2022-03-18进行了操作：图表展示
2022-06-09 15:22:09：用户567进行了操作：查看柱状图
2022-06-09 15:22:12：用户567进行了操作：查看饼状图
2022-06-09 15:22:15：用户567进行了操作：查看jiebaLDA图
2022-06-09 15:22:19：用户567进行了操作：查看thulacLDA图
2022-06-09 15:22:22：用户567进行了操作：数据展示
2022-06-09 15:22:24：用户567进行了操作：下一页
2022-06-09 15:22:25：用户567进行了操作：上一页
2022-06-09 15:22:29：用户567进行了操作：下一页
2022-06-09 15:22:29：用户567进行了操作：尾页
2022-06-09 15:22:30：用户567进行了操作：首页
2022-06-09 15:22:31：用户567进行了操作：上一页
2022-06-09 15:22:31：用户567进行了操作：下一页
2022-06-09 15:22:33：用户567进行了操作：查看原始数据
2022-06-09 15:22:33：用户567进行了操作：查看分词数据
2022-06-09 15:22:35：用户567进行了操作：下一页
2022-06-09 15:22:35：用户567进行了操作：上一页
2022-06-09 15:22:41：用户567进行了操作：查看分词数据
2022-06-09 15:22:44：用户567进行了操作：尾页
2022-06-09 15:22:46：用户567进行了操作：跳转到了第60页
2022-06-09 15:22:47：用户567进行了操作：下一页
2022-06-09 15:22:47：用户567进行了操作：上一页
2022-06-09 15:22:51：用户567进行了操作：搜索明天
2022-06-09 15:22:52：用户567进行了操作：下一页
2022-06-09 15:22:53：用户567进行了操作：下一页
2022-06-09 15:22:53：用户567进行了操作：下一页
2022-06-09 15:22:53：用户567进行了操作：下一页
2022-06-09 15:22:54：用户567进行了操作：查看原始数据
2022-06-09 15:23:05：用户567进行了操作：查看个人信息
2022-06-09 15:23:07：用户567进行了操作：修改密码
2022-06-09 15:23:16：用户567进行了操作：修改密码成功
2022-06-09 15:24:51：用户admin进行了操作：退出登陆
